formula,sym_val,ehull_c2db,decomp_energy_m2,gap_c2db,gap_m2,magmom_u_c2db,total_magnetization_m2,energy_c2db,energy_per_atom_m2,natoms_m2,total_energy_m2
Al2MgS4,164,0.03002957556341609,0.02981467035714136,2.047671907886081,2.1091,,0.0,-33.67618586539423,-4.82292175,7,-33.76045225
Al2MgSe4,164,0.011230601804619258,0.002790924285714702,1.064331903932948,1.2177,,0.0,-29.756065155727775,-4.250959342857143,7,-29.756715399999997
Al2MnS4,156,0.13788075143248438,0.13593698999999937,0.0,0.0,,4.5475083,-39.23428345872032,-5.554807814285715,7,-38.8836547
Al2O4,59,0.48445470379161026,0.3796770797916684,0.0165729589321284,0.0,,2.0002768,-40.03900678049609,-6.560277176666666,6,-39.36166306
Al2S2,164,0.015329674284701444,0.015965058611111083,2.141721125286268,2.0968999999999998,,0.0,-19.139745006434772,-4.8053212475,4,-19.22128499
Al2S2,187,0.006499855549966793,0.006934968611111536,2.0852526605015633,2.0336,,-0.0,-19.17506428137371,-4.8143513375,4,-19.25740535
Al2S3,164,0.05212060724450751,0.05807192933333383,1.5347376148513163,1.5649999999999997,,0.0,-24.80290750810423,-4.9778510019999995,5,-24.88925501
Al2Sb2,129,0.16067574167634913,0.16408998250000018,0.0,0.0,,4.55e-05,-16.356831995327756,-3.9356053775,4,-15.74242151
Al2Se2,12,0.03188077272013423,0.018703862500000668,1.642134436613111,1.6048,,0.0,-17.183064412530616,-4.3015893825,4,-17.20635753
Al2Se2,164,0.005796817010574884,0.0,2.137777777170184,2.0784,,-0.0,-17.287400235368853,-4.328553515,4,-17.31421406
Al2Se2,187,0.0,0.0,1.9974652951471374,1.9297,,-0.0,-17.310587503411153,-4.3344750425,4,-17.33790017
Al2Se3,164,0.07047126029679873,0.061192804000000045,0.6864406853014864,0.7675999999999998,,-0.0,-21.85597997214299,-4.373538454,5,-21.86769227
Al2Se5,12,0.010580583575957243,0.007532557544642771,1.4754926092217455,1.7101,,-0.0,-29.099879772040193,-4.157132458571429,7,-29.09992721
Al2Si2Te6,162,0.0020650889082233447,0.0,1.1145255929465998,1.3272999999999997,,-0.0,-40.20037596861934,-3.9841580409999997,10,-39.84158041
Al2Te2,12,0.03271630877158138,0.03445971500000011,1.4729665666133782,1.4948,,-0.0,-15.259343123638983,-3.7854991325,4,-15.14199653
Al2Te2,164,0.0030533200375679748,0.00395447250000025,1.955444505126585,2.0391,,-0.0,-15.377995078575037,-3.816004375,4,-15.2640175
Al2Te2,187,0.0,0.0009921925000000442,1.747981739998822,1.7839,,-0.0,-15.390208358725308,-3.818966655,4,-15.27586662
Al2Te3,164,0.10118802835691625,0.10494413300000005,,0.0,,-4e-06,-18.839532461393702,-3.7293858479999997,5,-18.64692924
Al2Te5,12,0.0018988512519421924,0.0012427821428571129,1.2165587137891372,1.4575999999999998,,-0.0,-25.775354736565532,-3.635397241428571,7,-25.44778069
Al2Zn2S5,156,0.15411729263866608,0.15205018722222352,,0.0,,-2.7e-06,-37.758778155047764,-4.226780751111111,9,-38.041026759999994
Al2ZnS4,156,0.14669083125752178,0.14528256500000047,0.0,0.0,,-1.9e-06,-31.19801364582735,-4.482092631428571,7,-31.37464842
Al8Te12,14,0.0030777162587121154,0.0,1.7746302939702097,1.8108,,-0.0,-77.32033608753889,-3.8293479525,20,-76.58695905
AlAs,187,0.5217048398422941,0.5195332549999998,1.2372865211539534,1.2399,,-0.0,-8.323704433149896,-4.167490355,2,-8.33498071
AlN,187,0.5116987206765602,0.5106825050000001,2.892540351109037,2.893,,-0.0,-13.821299099120363,-6.93423608,2,-13.86847216
AlP,187,0.5261504942516382,0.5235465000000001,2.2597868162068364,2.2554,,-0.0,-9.284817790252669,-4.665663885,2,-9.33132777
AlPd5I2,123,0.0,0.009691324791666567,0.0,0.0,,1.5e-06,-29.34118006476799,-4.50564409875,8,-36.04515279
As2,164,0.005086301514310776,0.0,1.48319754270698,1.573,,0.0,-9.316045330642138,-4.64585955,2,-9.2917191
As2Br6,162,0.003354073630402965,0.029545161250000174,2.4767749625963944,2.5048999999999997,,-0.0,-22.51431375741304,-2.82233804875,8,-22.57870439
As2O6Sb2,7,0.0,0.0015188602500000314,3.9740287717708873,3.9209,,0.0,-61.89445175793086,-5.999395579,10,-59.99395579
As2O8P2,31,0.06354288743983005,0.0,4.36651165278805,4.162100000000001,,-0.0,-80.90542501279194,-6.6294024574999995,12,-79.55282949
As2O8Sb2,11,0.02559205184409456,0.03409176097221511,3.3834861242286722,3.5221000000000005,,-0.0,-74.33209394179772,-6.007284805,12,-72.08741766
As2S3,164,0.057682797440148904,0.07195630050000013,0.9036560087944792,0.9493000000000003,,0.0,-21.971458049310282,-4.39678844,5,-21.9839422
As2Se3,164,0.0,0.0148274569999991,0.6061094329177069,0.6571,,-0.0,-20.359679784165568,-4.063218856000001,5,-20.31609428
As2Te2,12,0.06055017543067972,0.20184170916666666,0.9338499007824226,0.0,,5e-07,-15.54982777736687,-3.710954415,4,-14.84381766
As2Te3,164,0.013854077760618111,0.02309725400000051,0.5185841041929311,0.7317,,-0.0,-18.955663362995914,-3.7406439839999996,5,-18.70321992
As4,53,0.04184453449020964,0.047695777500000425,0.8347269690251125,0.6292,,-0.0,-18.48505772938068,-4.6103747775,4,-18.44149911
As4Ge4Se4,17,0.004906124997299107,0.0,1.7354048737219223,1.7883999999999998,,-0.0,-52.82095973636303,-4.426126389999999,12,-53.11351667999999
As4H2O12P2,4,0.0,0.03689122524999977,4.555794861602395,4.5271,,0.0,-128.13654875195297,-6.253216783,20,-125.06433566
As4O10,31,0.1358279151791026,0.17661850821428526,,1.5655000000000001,,-0.0,-82.7823642031281,-5.754154864999999,14,-80.55816811
As4O12S2,18,0.0,0.0,4.45635411679549,4.2166,,0.0,-110.47787118554146,-5.997361883333333,18,-107.9525139
As4O6,4,0.0048330164629604155,0.003876988499999179,3.876239173691788,3.9015,,0.0,-61.550179676683086,-6.033798983,10,-60.33798983
As4O6,7,0.0056905951844008484,0.013755430999999874,4.256006969095704,4.322,,0.0,-61.54160388946868,-6.030459608,10,-60.30459608
As4O8,11,0.0,,3.274399068709864,2.6470000000000002,,-0.0011049,-73.26382289681439,,12,
As4O8,31,0.06991229710530789,0.08026150729166659,3.2318990493557513,3.2434,,0.0,-72.4248753315507,-5.897779226666667,12,-70.77335072
As4S6,7,0.003172293971253737,0.0,2.2545348517666275,2.1307,,0.0,-44.488021133309516,-4.459215636,10,-44.59215636
As4Se6,7,0.016885154861861908,0.017336032999999418,1.7653979130389001,1.6149,,0.0,-40.55050801971252,-4.06071028,10,-40.60710280000001
As4Te6,7,0.10100589570263097,0.07019376100000008,,1.0092999999999999,,-0.0,-37.0398085465717,-3.693547477,10,-36.93547477
As6H2O12,4,0.0,0.0,3.8284110239589717,3.8282999999999996,,-0.0,-119.7269562953419,-5.8618936249999996,20,-117.2378725
As8Ge4,26,0.006472437102177153,0.0,1.1857329186939616,1.1962,,0.0,-55.92653949135593,-4.683134909166667,12,-56.19761891
As8Si4,26,0.0030719941139410642,0.0,1.4221972449029598,1.3449000000000002,,0.0,-59.85660628122253,-4.98677403,12,-59.84128836000001
AsB,187,0.4674830982972849,0.46715905500000066,0.7565029501554239,0.6511,,0.0,-10.63245728574912,-5.30044979,2,-10.60089958
Au2Ba2,191,0.23140535786765692,0.23004505500000016,,0.0,,-6.24e-05,-12.09483681235472,-3.088777805,4,-12.35511122
Au2Br2,164,0.2383791856429207,0.2563949000000001,0.48645923942184055,0.07800000000000029,,2e-07,-9.11349037088049,-2.33168302,4,-9.32673208
Au2Br2,67,0.0,0.0,1.9853378853136583,1.9037,,0.0,-10.067007113452172,-2.5769846275,4,-10.30793851
Au2Ca2,191,0.4097880979016093,0.41574663749999985,,0.0,,0.0006076,-12.016558148667718,-3.0330586075,4,-12.13223443
Au2CaF12,115,0.0,0.0,1.5664270119539276,1.6539000000000001,,0.0,-50.89746036321914,-3.515858946666667,15,-52.7378842
Au2Cl2,129,0.3345416498598017,0.3513111687499997,0.019208279238001058,0.3341000000000003,,0.0,-9.439211544437596,-2.42036401,4,-9.68145604
Au2Cl2,164,0.2868239457564674,0.3123359862499999,,0.0,,0.0032023,-9.630082360850933,-2.4593391925,4,-9.83735677
Au2Cl4,14,0.04074674752628867,0.08094638250000008,0.0,0.0,,1.7317589,-14.745969657063267,-2.4878468283333333,6,-14.927080969999999
Au2F2,129,0.4879567430756424,0.5437551725,,0.0,,0.0,-10.341754947266985,-2.6973068525,4,-10.78922741
Au2F4,14,0.005093345098208839,0.07038221499999997,0.038992458973792665,0.3493000000000004,,0.0001148,-18.184203215264624,-3.1597623250000004,6,-18.95857395
Au2I2,164,0.14787912533732506,0.1488224374999998,0.8287802849483253,1.0557000000000003,,-0.0,-9.018287035669912,-2.323451715,4,-9.29380686
Au2I2,67,0.0,0.0,1.8080290134811015,1.7685999999999997,,0.0,-9.609803537019213,-2.451870185,4,-9.80748074
Au2Rb2S2,51,0.09635414706759526,0.15160662805555747,1.210810376394556,1.9993,,0.0,-20.380883826149592,-3.350374635,6,-20.10224781
Au2S2,10,0.0,0.0,1.2163392281134509,1.3266999999999998,,0.0,-14.780390902597633,-3.7635825475,4,-15.05433019
Au2S2,59,0.3933778441020097,0.2355574789843753,,0.0,,-7.6e-06,-13.206879526189594,-3.35278988,4,-13.41115952
Au2Se2,10,0.007223703427173156,0.0,0.9558875039194672,1.2376,,0.0,-13.688499438004449,-3.47116997,4,-13.88467988
Au2Se2,59,0.24262384916544244,0.27418076000000013,,0.0,,-6.2e-06,-12.746898855051372,-3.2084304075,4,-12.83372163
Au2Sr2,191,0.23392675272630825,0.32618325999999964,,0.0,,0.1144372,-11.578921083093414,-2.93711811,4,-11.74847244
Au2Te2,10,0.0,0.0,0.6181338995312151,0.9262999999999999,,-0.0,-13.089973207190411,-3.2720934725,4,-13.08837389
Au2Te2,129,0.2145386567754528,0.20675635499999956,,0.0,,-0.0,-12.2318185800886,-3.06394447,4,-12.25577788
Au4I4Te4,14,0.0,0.0,1.0711838555476998,1.0945,,0.0,-33.167708141164304,-2.7729552191666667,12,-33.27546263
Au4S2,129,0.07455458420640682,0.08792939166666702,0.6589141099375349,1.1375000000000002,,-0.0,-20.797765133150115,-3.541727575,6,-21.25036545
AuBr2,115,0.17084720325237845,0.20673264708333328,0.0,0.0,,0.0014512,-6.2221697375326634,-2.1211473966666667,3,-6.363442190000001
AuCl2,115,0.25535478768618436,0.28483182750000013,0.0,0.0,,0.6675913,-6.729160708051946,-2.283961383333333,3,-6.85188415
AuF2,115,0.4153299584728109,0.4996762466666671,0.0,0.0,,1.0018426,-7.861391767508506,-2.7304682933333333,3,-8.19140488
AuI,187,0.14924154259160138,0.13720621249999976,0.05417216738706099,0.04320000000000013,,-0.0,-4.5064186833264035,-2.33506794,2,-4.67013588
AuI2,115,0.10468601445425664,0.10900040166666658,0.0,0.0,,0.0014327,-5.9692693070736205,-2.045535446666667,3,-6.13660634
