formula,symmetry_type,symmetry_value,in_c2db,in_2dmatpedia_final
Ag2CaO8,number,89,True,False
Ag2CaS8,number,89,True,False
Ag2Cd2Br2S2,number,26,True,False
Ag2Cd2Br2Se2,number,26,True,False
Ag2Cd2Br2Te2,number,26,True,False
Ag2Cd2Br6,number,162,True,False
Ag2Cd2Cl2S2,number,26,True,False
Ag2Cd2Cl2Se2,number,26,True,False
Ag2Cd2Cl2Te2,number,26,True,False
Ag2Cd2Cl6,number,162,True,False
Ag2Cd2F2S2,number,26,True,False
Ag2Cd2F2Se2,number,26,True,False
Ag2Cd2F2Te2,number,26,True,False
Ag2Cd2I2S2,number,26,True,False
Ag2Cd2I2Se2,number,26,True,False
Ag2Cd2I2Te2,number,26,True,False
Ag2Cd2I6,number,162,True,False
Ag2Cl2,number,10,True,False
Ag2Cl2,number,129,True,False
Ag2Cl2,number,13,True,False
Ag2Cl2,number,164,True,True
Ag2Cl2,number,187,True,False
Ag2Cl2,number,51,True,True
Ag2Cl2,number,67,True,True
Ag2Cl2I,number,164,True,False
Ag2Cl2N2,number,59,True,False
Ag2Cl2N2S2,number,31,True,False
Ag2Cl2O2,number,59,True,False
Ag2Cl2O3P4,number,6,True,False
Ag2Cl2O4,number,1,False,True
Ag2Cl2O4,number,11,False,True
Ag2Cl2O4,number,67,False,True
Ag2Cl2P4S3,number,6,True,False
Ag2Cl2P4Se3,number,6,True,False
Ag2Cl2P4Te3,number,6,True,False
Ag2Cl2S2,number,59,True,False
Ag2Cl2S3Sb4,number,6,True,False
Ag2Cl2S4,number,17,True,False
Ag2Cl2Sb4Se3,number,6,True,False
Ag2Cl2Sb4Te3,number,6,True,False
Ag2Cl2Se2,number,59,True,False
Ag2Cl2Se4,number,17,True,False
Ag2Cl2Se4,number,4,True,False
Ag2Cl2Te2,number,59,True,False
Ag2Cl2Te4,number,17,True,False
Ag2Cl2Te4,number,4,True,False
Ag2Cl4,number,14,True,True
Ag2Cl4O12,number,4,True,False
Ag2Cl6,number,162,True,False
Ag2Cl6,number,191,True,False
Ag2Cr2As4O12,number,13,True,False
Ag2Cr2As4O12,number,4,True,False
Ag2Cr2As4S12,number,13,True,False
Ag2Cr2As4Se12,number,13,True,False
Ag2Cr2As4Te12,number,13,True,False
Ag2Cr2O12P4,number,13,True,False
Ag2Cr2O12P4,number,4,True,False
Ag2Cr2O8,number,51,True,False
Ag2Cr2P4S12,number,13,True,True
Ag2Cr2P4Se12,number,13,True,False
Ag2Cr2P4Te12,number,13,True,False
Ag2Cr2S12Sb4,number,13,True,False
Ag2Cr2S8,number,51,True,False
Ag2Cr2Sb4Se12,number,13,True,False
Ag2Cr2Sb4Te12,number,13,True,False
Ag2Cu2Br6,number,12,True,False
Ag2Cu2Cl6,number,12,True,False
Ag2Cu2I6,number,162,True,False
Ag2Cu2I8,number,2,True,False
Ag2Cu2Se2,number,26,True,False
Ag2Cu2Se2,number,39,True,False
Ag2Cu2Te2,number,7,True,False
Ag2CuTe2,number,12,True,False
Ag2F18Xe2,number,83,False,True
Ag2F2,number,1,True,False
Ag2F2,number,129,True,False
Ag2F2,number,164,False,True
Ag2F2,number,2,True,False
Ag2F2,number,51,False,True
Ag2F2,number,67,False,True
Ag2F2N2O2,number,59,True,False
Ag2F2N2S2,number,31,True,False
Ag2F2O2,number,59,True,False
Ag2F2O3Sb4,number,6,True,False
Ag2F2O4,number,11,False,True
Ag2F2O4,number,17,False,True
Ag2F2P4S3,number,6,True,False
Ag2F2P4Se3,number,6,True,False
Ag2F2P4Te3,number,6,True,False
Ag2F2S2,number,59,True,False
Ag2F2S3Sb4,number,6,True,False
Ag2F2S4,number,4,True,False
Ag2F2Sb4Se3,number,6,True,False
Ag2F2Sb4Te3,number,6,True,False
Ag2F2Se2,number,59,True,False
Ag2F2Se4,number,4,True,False
Ag2F2Te2,number,59,True,False
Ag2F2Te4,number,4,True,False
Ag2F4,number,14,True,True
Ag2F6,number,12,True,False
Ag2F6,number,162,True,False
Ag2F6,number,191,True,False
Ag2F6,number,28,True,False
Ag2Fe2I6,number,162,True,False
Ag2Ge2I6,number,162,True,False
Ag2Ge2O6,number,26,False,True
Ag2Ge2O6,number,51,True,True
Ag2Ge2S6,number,51,True,False
Ag2H2,number,129,True,False
Ag2H2,number,164,True,False
Ag2H2O4,number,8,False,True
Ag2H4,number,13,True,False
Ag2H4I2N6,number,2,True,False
Ag2H4O10Te2,number,2,True,False
Ag2Hf2,number,129,False,True
Ag2Hg2As2S6,number,7,False,True
